"PEGI","PlatformMap_PEGI","USK","PlatformMap_USK","ESRB","PlatformMap_ESRB","OGDB","PlatformMap_OGDB","MOBYGAMES","PlatformMap_MOBYGAMES","MEDIAARTS","PlatformMap_MEDIAARTS","GAMEFAQS","PlatformMap_GAMEFAQS"
,,,,,,,,"Xbox","Microsoft Xbox",,,,
,,,,,,,,"Xbox 360","Microsoft Xbox 360",,,,
,,,,,,,,"Xbox One","Microsoft Xbox One",,,,
,,,,,,,,"Z-machine","Other",,,,
,,,,,,,,"ZX Spectrum","Other",,,,
,,,,,,,,"ZX80","Other",,,,
,,,,,,,,"ZX81","Other",,,,
,,,,,,,,"Zeebo","Other",,,,
,,,,,,,,"Zodiac","Other",,,,
,,,,,,,,"bada","Other",,,,
,,,,,,,,"digiBlast","Other",,,,
,,,,,,,,"iPad","Mobile",,,,
,,,,,,,,"iPhone","Mobile",,,,
,,,,,,,,"iPod Classic","Mobile",,,,
,,,,,,,,"tvOS","Other",,,,
,,,,,,,,"watchOS","Other",,,,
,,,,,,,,"webOS","PC",,,,
,,,,,,,,"Adventure Vision","Adventure Vision",,,,
,,,,,,,,"Zune","Other",,,,
,,,,,,,,"Terminal","Other",,,,
,,,,,,,,"CreatiVision","Other",,,,
,,,,,,,,"APF MP1000/Imagination Machine","Other",,,,
,,,,,,,,"VideoBrain","Other",,,,
